"","participant","best agg","best tempr"
"1","PROV006","1.72988215349066","0.213333150679794"
"2","PROV007","0.228090243438803","1.54037780458298"
"3","PROV008","0.392670043140884","0.634999252648716"
"4","PROV009","0.408818226023339","0.59750317327274"
"5","PROV010","2","0.239649961841869"
"6","PROV011","0.01","5"
"7","PROV012","0.01","5"
"8","PROV013","0.36293536755131","0.715385614993381"
"9","PROV015","0.235744712923065","1.29405637479916"
"10","PROV016","1.84020071302856","0.210327555158968"
"11","PROV017","2","0.239650461737659"
"12","PROV018","2","0.239649961839932"
"13","PROV019","0.361300307321489","0.720832849331959"
"14","PROV020","0.306443070049655","0.830353494097796"
"15","PROV021","0.880300557910997","0.374982216158584"
"16","PROV022","0.01","5"
"17","PROV023","0.158865922927324","2.69016514269553"
"18","PROV024","0.127448455245803","2.98943573208877"
"19","PROV025","0.218300157766935","1.9734803778928"
"20","PROV026","0.462827641318878","0.515925368850842"
"21","PROV027","0.127448455251647","2.98943573213182"
"22","PROV028","2","0.239656671386401"
"23","PROV029","2","0.239647404825006"
"24","PROV030","1.12736402618935","0.263041633268939"
"25","PROV031","0.287684214058653","0.738585964541132"
"26","PROV032","0.218300157767128","1.97348037789167"
"27","PROV033","2","0.239649961841229"
"28","PROV034","0.149766853656183","3.06555790953847"
"29","PROV035","0.392670043140732","0.634999252645589"
"30","PROV036","2","0.239652484508954"
"31","PROV037","0.228090243437427","1.5403778045797"
"32","PROV038","0.377465604915261","0.674570369271687"
"33","PROV039","0.540361526979088","0.493589733653526"
"34","PROV040","0.218300157766956","1.9734803778927"
"35","PROV041","0.502332718608472","0.499899721740492"
"36","PROV042","1.99983596872861","0.00275551543334278"
"37","PROV043","2","0.239649961841009"
"38","PROV044","2","0.239631672416256"
"39","PROV045","0.326076147656311","0.798643734496654"
"40","PROV046","0.01","5"
"41","PROV047","0.337084042604947","0.779586248962618"
"42","PROV048","0.296939875727577","0.770056613022813"
"43","PROV049","0.01","5"
"44","PROV050","0.01","5"
"45","PROV051","0.01","5"
"46","PROV052","0.01","5"
"47","PROV053","0.01","0.00921016914741931"
"48","PROV054","0.296939875817117","0.770056612950822"
"49","PROV055","2","0.239652484495684"
"50","PROV056","0.847103304617744","0.392253166229993"
"51","PROV057","0.01","0.00600366042202032"
"52","PROV058","0.206661878503108","1.68227246626141"
"53","PROV059","0.01","5"
"54","PROV060","0.149766853656152","3.06555790951587"
